#frame monomer_traj1 monomer_traj2 monomer_traj3 monomer_moy standard_error popc_alone_traj1 popc_alone_traj2 popc_alone_traj3 popc_alone_moy standard_error
195 34.615 30.769 30.769 32.051 1.282 0.000 0.000 0.000 0.000 0.000
196 57.692 61.538 34.615 51.282 8.407 0.000 0.000 0.000 0.000 0.000
197 57.692 42.308 42.308 47.436 5.128 0.000 0.000 0.000 0.000 0.000
198 73.077 61.538 23.077 52.564 15.115 0.000 0.000 0.000 0.000 0.000
199 61.538 42.308 42.308 48.718 6.410 0.000 0.000 0.000 0.000 0.000
200 34.615 34.615 53.846 41.026 6.410 0.000 0.000 0.000 0.000 0.000
201 61.538 50.000 65.385 58.974 4.623 0.000 0.000 0.000 0.000 0.000
202 46.154 53.846 69.231 56.410 6.784 0.000 0.000 0.000 0.000 0.000
203 53.846 30.769 57.692 47.436 8.407 0.000 0.000 0.000 0.000 0.000
204 61.538 46.154 50.000 52.564 4.623 0.000 0.000 0.000 0.000 0.000
205 61.538 34.615 50.000 48.718 7.798 0.000 0.000 0.000 0.000 0.000
206 38.462 42.308 57.692 46.154 5.875 0.000 0.000 0.000 0.000 0.000
207 50.000 53.846 57.692 53.846 2.221 0.000 0.000 0.000 0.000 0.000
208 50.000 50.000 38.462 46.154 3.846 0.000 0.000 0.000 0.000 0.000
209 50.000 57.692 50.000 52.564 2.564 0.000 0.000 0.000 0.000 0.000
210 50.000 57.692 53.846 53.846 2.221 0.000 0.000 0.000 0.000 0.000
211 46.154 65.385 61.538 57.692 5.875 0.000 0.000 0.000 0.000 0.000
212 46.154 53.846 42.308 47.436 3.392 0.000 0.000 0.000 0.000 0.000
213 53.846 69.231 53.846 58.974 5.128 0.000 0.000 0.000 0.000 0.000
214 42.308 61.538 61.538 55.128 6.410 0.000 0.000 0.000 0.000 0.000
215 42.308 65.385 57.692 55.128 6.784 0.000 0.000 0.000 0.000 0.000
216 42.308 50.000 65.385 52.564 6.784 0.000 0.000 0.000 0.000 0.000
217 57.692 57.692 65.385 60.256 2.564 0.000 0.000 0.000 0.000 0.000
218 57.692 73.077 46.154 58.974 7.798 0.000 0.000 0.000 0.000 0.000
219 42.308 34.615 61.538 46.154 8.006 0.000 0.000 0.000 0.000 0.000
220 61.538 53.846 53.846 56.410 2.564 0.000 1.562 0.000 0.521 0.521
221 57.692 50.000 57.692 55.128 2.564 0.000 3.125 0.000 1.042 1.042
222 34.615 69.231 53.846 52.564 10.013 0.000 1.562 0.000 0.521 0.521
223 42.308 61.538 57.692 53.846 5.875 0.000 0.000 0.000 0.000 0.000
224 46.154 50.000 65.385 53.846 5.875 0.000 0.000 0.000 0.000 0.000
225 46.154 46.154 38.462 43.590 2.564 0.000 0.000 0.000 0.000 0.000
226 53.846 53.846 34.615 47.436 6.410 0.000 1.562 0.000 0.521 0.521
227 50.000 50.000 46.154 48.718 1.282 0.000 1.562 0.000 0.521 0.521
228 69.231 53.846 53.846 58.974 5.128 0.000 1.562 0.000 0.521 0.521
229 38.462 34.615 34.615 35.897 1.282 0.000 0.000 0.000 0.000 0.000
230 50.000 53.846 42.308 48.718 3.392 0.000 0.000 0.000 0.000 0.000
231 61.538 53.846 65.385 60.256 3.392 0.000 0.000 0.000 0.000 0.000
232 57.692 46.154 61.538 55.128 4.623 0.000 0.000 0.000 0.000 0.000
233 50.000 50.000 57.692 52.564 2.564 0.000 0.000 0.000 0.000 0.000
234 53.846 61.538 57.692 57.692 2.221 0.000 0.000 0.000 0.000 0.000
235 50.000 61.538 65.385 58.974 4.623 0.000 1.562 0.000 0.521 0.521
236 50.000 46.154 61.538 52.564 4.623 0.000 0.000 0.000 0.000 0.000
237 57.692 53.846 57.692 56.410 1.282 0.000 0.000 0.000 0.000 0.000
238 84.615 50.000 65.385 66.667 10.013 0.000 0.000 0.000 0.000 0.000
239 69.231 61.538 53.846 61.538 4.441 0.000 0.000 0.000 0.000 0.000
240 61.538 61.538 61.538 61.538 0.000 0.000 0.000 0.000 0.000 0.000
241 50.000 46.154 69.231 55.128 7.138 0.000 0.000 0.000 0.000 0.000
242 42.308 42.308 42.308 42.308 0.000 0.000 0.000 0.000 0.000 0.000
