z	dens_traj1_bloc1	dens_traj1_bloc2	dens_traj1_bloc3	dens_traj2_bloc1	dens_traj2_bloc2	dens_traj2_bloc3	dens_traj3_bloc1	dens_traj3_bloc2	dens_traj3_bloc3	dens_mean	se
15.500000	1.160000	1.170000	1.180000	1.170000	1.170000	1.170000	1.170000	1.180000	1.170000	1.171111	0.002003
16.500000	1.240000	1.240000	1.240000	1.240000	1.240000	1.240000	1.240000	1.240000	1.240000	1.240000	0.000000
17.500000	1.290000	1.290000	1.290000	1.300000	1.290000	1.290000	1.290000	1.290000	1.290000	1.291111	0.001111
18.500000	1.340000	1.340000	1.340000	1.340000	1.340000	1.340000	1.340000	1.330000	1.330000	1.337778	0.001470
19.500000	1.370000	1.370000	1.370000	1.360000	1.370000	1.370000	1.370000	1.370000	1.360000	1.367778	0.001470
20.500000	1.350000	1.360000	1.360000	1.350000	1.360000	1.360000	1.360000	1.360000	1.350000	1.356667	0.001667
21.500000	1.310000	1.300000	1.300000	1.290000	1.300000	1.300000	1.300000	1.280000	1.290000	1.296667	0.002887
22.500000	1.210000	1.210000	1.210000	1.200000	1.200000	1.210000	1.210000	1.200000	1.210000	1.206667	0.001667
23.500000	1.130000	1.120000	1.130000	1.120000	1.120000	1.130000	1.130000	1.120000	1.120000	1.124444	0.001757
24.500000	1.070000	1.060000	1.060000	1.060000	1.060000	1.070000	1.070000	1.060000	1.060000	1.063333	0.001667
25.500000	1.030000	1.030000	1.030000	1.030000	1.030000	1.030000	1.030000	1.030000	1.030000	1.030000	0.000000
26.500000	1.010000	1.010000	1.010000	1.010000	1.010000	1.010000	1.010000	1.010000	1.010000	1.010000	0.000000
27.500000	1.000000	1.010000	1.000000	1.010000	1.010000	1.010000	1.000000	1.010000	1.010000	1.006667	0.001667
28.500000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000
29.500000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000
30.500000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000
31.500000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000
32.500000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000
33.500000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000
34.500000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.010000	1.001111	0.001111
