cutoff,frame,n_contacts,n_pairs,fraction,system
4.0,26,0,325,0.0,sca
4.0,27,0,325,0.0,sca
4.0,28,0,325,0.0,sca
4.0,29,0,325,0.0,sca
4.0,30,0,325,0.0,sca
4.0,31,0,325,0.0,sca
4.0,32,0,325,0.0,sca
4.0,33,1,325,0.003076923076923077,sca
4.0,34,0,325,0.0,sca
4.0,35,0,325,0.0,sca
4.0,36,0,325,0.0,sca
4.0,37,0,325,0.0,sca
4.0,38,0,325,0.0,sca
4.0,39,0,325,0.0,sca
4.0,40,0,325,0.0,sca
4.0,41,0,325,0.0,sca
4.0,42,0,325,0.0,sca
4.0,43,0,325,0.0,sca
4.0,44,0,325,0.0,sca
4.0,45,0,325,0.0,sca
4.0,46,0,325,0.0,sca
4.0,47,0,325,0.0,sca
4.0,48,0,325,0.0,sca
4.0,49,0,325,0.0,sca
4.0,50,0,325,0.0,sca
4.0,51,0,325,0.0,sca
4.0,52,1,325,0.003076923076923077,sca
4.0,53,0,325,0.0,sca
4.0,54,0,325,0.0,sca
4.0,55,0,325,0.0,sca
4.0,56,0,325,0.0,sca
4.0,57,0,325,0.0,sca
4.0,58,0,325,0.0,sca
4.0,59,0,325,0.0,sca
4.0,60,0,325,0.0,sca
4.0,61,0,325,0.0,sca
4.0,62,0,325,0.0,sca
4.0,63,0,325,0.0,sca
4.0,64,0,325,0.0,sca
4.0,65,0,325,0.0,sca
4.0,66,0,325,0.0,sca
4.0,67,0,325,0.0,sca
4.0,68,1,325,0.003076923076923077,sca
4.0,69,0,325,0.0,sca
4.0,70,0,325,0.0,sca
4.0,71,0,325,0.0,sca
4.0,72,0,325,0.0,sca
4.0,73,0,325,0.0,sca
4.0,74,1,325,0.003076923076923077,sca
4.0,75,0,325,0.0,sca
4.0,76,0,325,0.0,sca
4.0,77,1,325,0.003076923076923077,sca
4.0,78,0,325,0.0,sca
4.0,79,0,325,0.0,sca
4.0,80,0,325,0.0,sca
4.0,81,0,325,0.0,sca
4.0,82,0,325,0.0,sca
4.0,83,1,325,0.003076923076923077,sca
4.0,84,0,325,0.0,sca
4.0,85,0,325,0.0,sca
4.0,86,1,325,0.003076923076923077,sca
4.0,87,0,325,0.0,sca
4.0,88,0,325,0.0,sca
4.0,89,0,325,0.0,sca
4.0,90,0,325,0.0,sca
4.0,91,0,325,0.0,sca
4.0,92,0,325,0.0,sca
4.0,93,0,325,0.0,sca
4.0,94,0,325,0.0,sca
4.0,95,0,325,0.0,sca
4.0,96,0,325,0.0,sca
4.0,97,0,325,0.0,sca
4.0,98,0,325,0.0,sca
4.0,99,0,325,0.0,sca
4.25,0,3,325,0.009230769230769232,sca
4.25,1,1,325,0.003076923076923077,sca
4.25,2,2,325,0.006153846153846154,sca
4.25,3,2,325,0.006153846153846154,sca
4.25,4,3,325,0.009230769230769232,sca
4.25,5,2,325,0.006153846153846154,sca
4.25,6,1,325,0.003076923076923077,sca
4.25,7,1,325,0.003076923076923077,sca
4.25,8,0,325,0.0,sca
4.25,9,3,325,0.009230769230769232,sca
4.25,10,3,325,0.009230769230769232,sca
4.25,11,0,325,0.0,sca
4.25,12,1,325,0.003076923076923077,sca
4.25,13,1,325,0.003076923076923077,sca
4.25,14,0,325,0.0,sca
4.25,15,1,325,0.003076923076923077,sca
4.25,16,0,325,0.0,sca
4.25,17,0,325,0.0,sca
4.25,18,0,325,0.0,sca
4.25,19,0,325,0.0,sca
4.25,20,0,325,0.0,sca
4.25,21,0,325,0.0,sca
4.25,22,1,325,0.003076923076923077,sca
4.25,23,0,325,0.0,sca
4.25,24,0,325,0.0,sca
4.25,25,0,325,0.0,sca
4.25,26,0,325,0.0,sca
4.25,27,0,325,0.0,sca
4.25,28,0,325,0.0,sca
4.25,29,0,325,0.0,sca
4.25,30,0,325,0.0,sca
4.25,31,0,325,0.0,sca
4.25,32,0,325,0.0,sca
4.25,33,1,325,0.003076923076923077,sca
4.25,34,0,325,0.0,sca
4.25,35,0,325,0.0,sca
4.25,36,0,325,0.0,sca
4.25,37,0,325,0.0,sca
4.25,38,0,325,0.0,sca
4.25,39,0,325,0.0,sca
4.25,40,0,325,0.0,sca
4.25,41,0,325,0.0,sca
4.25,42,0,325,0.0,sca
4.25,43,0,325,0.0,sca
4.25,44,0,325,0.0,sca
4.25,45,0,325,0.0,sca
4.25,46,0,325,0.0,sca
4.25,47,0,325,0.0,sca
4.25,48,1,325,0.003076923076923077,sca
4.25,49,0,325,0.0,sca
4.25,50,0,325,0.0,sca
4.25,51,0,325,0.0,sca
4.25,52,1,325,0.003076923076923077,sca
4.25,53,0,325,0.0,sca
4.25,54,0,325,0.0,sca
4.25,55,0,325,0.0,sca
4.25,56,0,325,0.0,sca
4.25,57,0,325,0.0,sca
4.25,58,0,325,0.0,sca
4.25,59,0,325,0.0,sca
4.25,60,0,325,0.0,sca
4.25,61,0,325,0.0,sca
4.25,62,0,325,0.0,sca
4.25,63,0,325,0.0,sca
4.25,64,0,325,0.0,sca
4.25,65,0,325,0.0,sca
4.25,66,0,325,0.0,sca
4.25,67,0,325,0.0,sca
4.25,68,1,325,0.003076923076923077,sca
4.25,69,0,325,0.0,sca
4.25,70,0,325,0.0,sca
4.25,71,0,325,0.0,sca
4.25,72,0,325,0.0,sca
4.25,73,0,325,0.0,sca
4.25,74,1,325,0.003076923076923077,sca
4.25,75,0,325,0.0,sca
4.25,76,0,325,0.0,sca
4.25,77,1,325,0.003076923076923077,sca
4.25,78,0,325,0.0,sca
4.25,79,0,325,0.0,sca
4.25,80,0,325,0.0,sca
4.25,81,0,325,0.0,sca
4.25,82,0,325,0.0,sca
4.25,83,1,325,0.003076923076923077,sca
4.25,84,0,325,0.0,sca
4.25,85,0,325,0.0,sca
4.25,86,1,325,0.003076923076923077,sca
4.25,87,0,325,0.0,sca
4.25,88,0,325,0.0,sca
4.25,89,0,325,0.0,sca
4.25,90,0,325,0.0,sca
4.25,91,0,325,0.0,sca
4.25,92,0,325,0.0,sca
4.25,93,0,325,0.0,sca
4.25,94,0,325,0.0,sca
4.25,95,0,325,0.0,sca
4.25,96,0,325,0.0,sca
4.25,97,0,325,0.0,sca
4.25,98,0,325,0.0,sca
4.25,99,0,325,0.0,sca
