#section	x1	y1	z1	apl1	x2	y2	z2	apl2	x3	y3	z3	apl3
60	46.725427	46.725427	129.866481	68.227047	46.275133	46.275133	132.347923	66.918373	46.265258	46.265258	133.589134	66.889815
61	47.091459	47.091459	128.356697	69.300173	46.206494	46.206494	133.322101	66.720004	46.300633	46.300633	132.698313	66.992144
62	46.665770	46.665770	130.899038	68.052939	46.496222	46.496222	131.478594	67.559334	46.308752	46.308752	133.065977	67.015642
63	46.432821	46.432821	131.885321	67.375216	46.131047	46.131047	134.316632	66.502296	46.043486	46.043486	134.174098	66.250083
64	46.462208	46.462208	132.250330	67.460523	46.636930	46.636930	130.209790	67.968852	45.951669	45.951669	135.261018	65.986120
65	46.347851	46.347851	132.383737	67.128853	46.430021	46.430021	132.025961	67.367088	46.122889	46.122889	133.377771	66.478777
66	46.521063	46.521063	131.923035	67.631542	47.494151	47.494151	125.597110	70.490449	45.806864	45.806864	135.606338	65.570901
67	47.376009	47.376009	127.349842	70.140195	46.741178	46.741178	130.522275	68.273055	45.943656	45.943656	134.519906	65.963110
68	47.094482	47.094482	128.205852	69.309071	47.422326	47.422326	125.595429	70.277405	46.023325	46.023325	134.317617	66.192076
69	46.427297	46.427297	132.171047	67.359184	47.336504	47.336504	127.391984	70.023269	47.215562	47.215562	127.533199	69.665915
70	47.063099	47.063099	128.275814	69.216728	46.176916	46.176916	134.282382	66.634611	46.923112	46.923112	129.101558	68.805576
71	46.770779	46.770779	130.483382	68.359556	45.788389	45.788389	134.808837	65.518016	46.133218	46.133218	133.590693	66.508556
72	46.175747	46.175747	132.575256	66.631239	46.387869	46.387869	132.602454	67.244824	46.186030	46.186030	133.225694	66.660918
73	46.348936	46.348936	133.082868	67.131997	46.041821	46.041821	134.663297	66.245290	45.999477	45.999477	134.215918	66.123497
74	47.144874	47.144874	127.966477	69.457475	45.342842	45.342842	137.716290	64.249167	45.865425	45.865425	135.048278	65.738662
75	45.066084	45.066084	140.036637	63.467249	46.437235	46.437235	131.853814	67.388023	45.708305	45.708305	136.735891	65.289037
76	45.329608	45.329608	139.031594	64.211666	47.145519	47.145519	128.424867	69.459374	46.736824	46.736824	130.207723	68.260336
77	45.795601	45.795601	135.521972	65.538658	45.924964	45.924964	134.716894	65.909448	46.128140	46.128140	133.678391	66.493916
78	45.302240	45.302240	138.224964	64.134153	45.708718	45.708718	135.766662	65.290215	46.580028	46.580028	130.611965	67.803095
79	45.600920	45.600920	136.976873	64.982622	47.176009	47.176009	128.406162	69.549246	47.569429	47.569429	125.807814	70.714081
80	46.420228	46.420228	131.954659	67.338675	46.841957	46.841957	129.677263	68.567780	46.930449	46.930449	129.532912	68.827095
81	45.891663	45.891663	135.708373	65.813897	46.062295	46.062295	134.092450	66.304219	47.087771	47.087771	128.297948	69.289319
82	46.034811	46.034811	133.811441	66.225120	46.695539	46.695539	130.407598	68.139792	46.731465	46.731465	129.989813	68.244682
83	45.970071	45.970071	134.124530	66.038983	47.121450	47.121450	128.902596	69.388470	47.134766	47.134766	127.745788	69.427692
84	46.523869	46.523869	131.299635	67.639699	46.746034	46.746034	130.124380	68.287240	46.635080	46.635080	131.031217	67.963459
85	45.213438	45.213438	139.209038	63.882968	46.981879	46.981879	129.371090	68.978030	46.106402	46.106402	134.385827	66.431259
86	45.241008	45.241008	139.131993	63.960899	46.365548	46.365548	131.820728	67.180127	46.133673	46.133673	133.691812	66.509870
87	45.130594	45.130594	139.407855	63.649079	46.720179	46.720179	130.167101	68.211722	46.995435	46.995435	129.039309	69.017841
88	46.203703	46.203703	133.679680	66.711944	47.587942	47.587942	125.598027	70.769132	46.676895	46.676895	130.441297	68.085392
89	45.806406	45.806406	136.160182	65.569587	46.613209	46.613209	131.090106	67.899726	46.911537	46.911537	128.586851	68.771636
90	45.540600	45.540600	137.081789	64.810820	45.323087	45.323087	138.769315	64.193194	47.554550	47.554550	125.576823	70.669851
91	45.610329	45.610329	136.807971	65.009440	46.693026	46.693026	129.882417	68.132459	46.508540	46.508540	131.955979	67.595135
92	46.375945	46.375945	132.660972	67.210260	45.686332	45.686332	135.211770	65.226280	47.263954	47.263954	127.476731	69.808791
93	46.010990	46.010990	134.576362	66.156601	46.207355	46.207355	132.474229	66.722488	46.993164	46.993164	128.509746	69.011172
94	47.621108	47.621108	125.200096	70.867811	46.858357	46.858357	129.471381	68.615801	46.881051	46.881051	129.479864	68.682280
95	46.145904	46.145904	133.548722	66.545138	46.781395	46.781395	130.443903	68.390590	46.071711	46.071711	134.234571	66.331328
96	45.692934	45.692934	136.208071	65.245131	46.866052	46.866052	129.826708	68.638338	46.849210	46.849210	129.268773	68.589014
97	47.063071	47.063071	128.788388	69.216646	46.750055	46.750055	130.023129	68.298990	46.754442	46.754442	129.665068	68.311809
98	47.257652	47.257652	127.094260	69.790178	47.606651	47.606651	125.379169	70.824789	46.465932	46.465932	131.362254	67.471339
99	46.762933	46.762933	130.001420	68.336621	47.329104	47.329104	126.346900	70.001378	46.307808	46.307808	132.467296	67.012909
100	47.183536	47.183536	127.607120	69.571439	47.458937	47.458937	126.595871	70.385961	46.695822	46.695822	130.519255	68.140618
101	47.420947	47.420947	126.669617	70.273319	47.663483	47.663483	125.637068	70.993987	46.722137	46.722137	130.358113	68.217440
102	46.279661	46.279661	133.307015	66.931470	47.008090	47.008090	129.226014	69.055015	45.477460	45.477460	137.816836	64.631231
103	46.887001	46.887001	129.764978	68.699714	46.334240	46.334240	131.879741	67.089431	46.108573	46.108573	133.754275	66.437516
104	46.530931	46.530931	131.280980	67.660236	45.990271	45.990271	134.320942	66.097031	46.359932	46.359932	132.780285	67.163853
105	46.181795	46.181795	133.265389	66.648692	46.165070	46.165070	133.550816	66.600428	46.019022	46.019022	135.332481	66.179698
106	46.565530	46.565530	130.885207	67.760894	46.860312	46.860312	129.535811	68.621527	46.009364	46.009364	134.631721	66.151924
107	46.147593	46.147593	133.642181	66.550011	46.251984	46.251984	132.467983	66.851438	46.174976	46.174976	133.155462	66.629013
108	45.554671	45.554671	137.643984	64.850876	46.555831	46.555831	131.538181	67.732669	45.808365	45.808365	135.613360	65.575197
109	45.452662	45.452662	138.493631	64.560765	47.119210	47.119210	128.672874	69.381873	45.914220	45.914220	134.764136	65.878611
110	45.267112	45.267112	138.709517	64.034732	46.237235	46.237235	132.775115	66.808808	45.847142	45.847142	135.095255	65.686263
111	45.744884	45.744884	136.184346	65.393575	46.976047	46.976047	128.955771	68.960907	46.452104	46.452104	131.720772	67.431186
112	45.994818	45.994818	134.459648	66.110103	47.193466	47.193466	127.865157	69.600725	46.864533	46.864533	129.748883	68.633889
113	46.093157	46.093157	134.459089	66.393097	47.498357	47.498357	126.992206	70.502934	47.115785	47.115785	128.524532	69.371788
114	46.910198	46.910198	129.542618	68.767708	47.288406	47.288406	126.918242	69.881042	47.070494	47.070494	128.709808	69.238480
