#frame monomer_traj1 monomer_traj2 monomer_traj3 monomer_moy standard_error popc_alone_traj1 popc_alone_traj2 popc_alone_traj3 popc_alone_moy standard_error
159 46.154 42.308 50.000 46.154 2.221 0.000 0.000 0.000 0.000 0.000
160 38.462 50.000 57.692 48.718 5.588 0.000 0.000 0.000 0.000 0.000
161 38.462 42.308 53.846 44.872 4.623 0.000 0.000 0.000 0.000 0.000
162 34.615 50.000 53.846 46.154 5.875 0.000 0.000 0.000 0.000 0.000
163 42.308 23.077 42.308 35.897 6.410 0.000 0.000 0.000 0.000 0.000
164 38.462 34.615 57.692 43.590 7.138 0.000 0.000 0.000 0.000 0.000
165 50.000 50.000 34.615 44.872 5.128 0.000 0.000 0.000 0.000 0.000
166 46.154 38.462 38.462 41.026 2.564 0.000 0.000 0.000 0.000 0.000
167 42.308 61.538 38.462 47.436 7.138 0.000 0.000 0.000 0.000 0.000
168 38.462 50.000 73.077 53.846 10.176 0.000 0.000 0.000 0.000 0.000
169 69.231 42.308 61.538 57.692 8.006 0.000 0.000 0.000 0.000 0.000
170 53.846 34.615 34.615 41.026 6.410 0.000 0.000 0.000 0.000 0.000
171 53.846 42.308 26.923 41.026 7.798 0.000 0.000 0.000 0.000 0.000
172 46.154 42.308 73.077 53.846 9.679 0.000 0.000 0.000 0.000 0.000
173 65.385 38.462 61.538 55.128 8.407 0.000 0.000 0.000 0.000 0.000
174 46.154 53.846 34.615 44.872 5.588 0.000 0.000 0.000 0.000 0.000
175 50.000 57.692 65.385 57.692 4.441 0.000 0.000 0.000 0.000 0.000
176 57.692 42.308 50.000 50.000 4.441 0.000 0.000 0.000 0.000 0.000
177 42.308 61.538 46.154 50.000 5.875 0.000 0.000 0.000 0.000 0.000
178 38.462 34.615 53.846 42.308 5.875 0.000 0.000 0.000 0.000 0.000
179 19.231 38.462 42.308 33.333 7.138 0.000 0.000 0.000 0.000 0.000
180 38.462 38.462 61.538 46.154 7.692 0.000 0.000 6.250 2.083 2.083
181 50.000 42.308 34.615 42.308 4.441 0.000 0.000 0.000 0.000 0.000
182 23.077 46.154 42.308 37.179 7.138 0.000 0.000 0.000 0.000 0.000
183 23.077 46.154 42.308 37.179 7.138 0.000 0.000 0.000 0.000 0.000
184 65.385 65.385 50.000 60.256 5.128 0.000 0.000 0.000 0.000 0.000
185 38.462 34.615 42.308 38.462 2.221 0.000 0.000 1.562 0.521 0.521
186 38.462 34.615 38.462 37.179 1.282 0.000 0.000 3.125 1.042 1.042
187 23.077 42.308 38.462 34.615 5.875 0.000 0.000 0.000 0.000 0.000
188 34.615 53.846 50.000 46.154 5.875 0.000 0.000 3.125 1.042 1.042
189 46.154 34.615 57.692 46.154 6.662 0.000 0.000 0.000 0.000 0.000
190 38.462 46.154 34.615 39.744 3.392 0.000 0.000 1.562 0.521 0.521
191 42.308 38.462 38.462 39.744 1.282 0.000 0.000 0.000 0.000 0.000
192 38.462 57.692 50.000 48.718 5.588 0.000 0.000 1.562 0.521 0.521
193 30.769 38.462 19.231 29.487 5.588 0.000 0.000 0.000 0.000 0.000
194 42.308 30.769 46.154 39.744 4.623 0.000 0.000 0.000 0.000 0.000
195 46.154 23.077 30.769 33.333 6.784 0.000 0.000 0.000 0.000 0.000
196 69.231 50.000 38.462 52.564 8.974 0.000 0.000 0.000 0.000 0.000
197 61.538 42.308 26.923 43.590 10.013 0.000 0.000 0.000 0.000 0.000
198 34.615 23.077 53.846 37.179 8.974 0.000 0.000 1.562 0.521 0.521
199 46.154 42.308 42.308 43.590 1.282 0.000 0.000 0.000 0.000 0.000
200 26.923 26.923 42.308 32.051 5.128 0.000 0.000 1.562 0.521 0.521
201 46.154 38.462 30.769 38.462 4.441 0.000 0.000 1.562 0.521 0.521
202 46.154 30.769 38.462 38.462 4.441 0.000 0.000 0.000 0.000 0.000
203 46.154 42.308 69.231 52.564 8.407 0.000 0.000 0.000 0.000 0.000
204 26.923 53.846 57.692 46.154 9.679 0.000 0.000 1.562 0.521 0.521
205 53.846 53.846 38.462 48.718 5.128 0.000 0.000 1.562 0.521 0.521
206 50.000 50.000 50.000 50.000 0.000 0.000 0.000 1.562 0.521 0.521
207 42.308 26.923 38.462 35.897 4.623 0.000 0.000 0.000 0.000 0.000
208 26.923 57.692 53.846 46.154 9.679 0.000 0.000 1.562 0.521 0.521
209 42.308 38.462 61.538 47.436 7.138 0.000 0.000 0.000 0.000 0.000
210 46.154 46.154 46.154 46.154 0.000 0.000 0.000 0.000 0.000 0.000
211 50.000 26.923 76.923 51.282 14.448 0.000 0.000 0.000 0.000 0.000
212 34.615 46.154 23.077 34.615 6.662 0.000 0.000 0.000 0.000 0.000
213 46.154 42.308 50.000 46.154 2.221 0.000 0.000 0.000 0.000 0.000
214 30.769 50.000 42.308 41.026 5.588 0.000 0.000 0.000 0.000 0.000
215 53.846 46.154 42.308 47.436 3.392 0.000 0.000 0.000 0.000 0.000
216 26.923 53.846 38.462 39.744 7.798 0.000 0.000 0.000 0.000 0.000
217 38.462 53.846 57.692 50.000 5.875 0.000 0.000 0.000 0.000 0.000
218 34.615 42.308 42.308 39.744 2.564 0.000 0.000 0.000 0.000 0.000
219 26.923 34.615 30.769 30.769 2.221 0.000 0.000 0.000 0.000 0.000
220 50.000 11.538 61.538 41.026 15.115 0.000 0.000 0.000 0.000 0.000
221 53.846 50.000 50.000 51.282 1.282 0.000 0.000 0.000 0.000 0.000
222 65.385 57.692 46.154 56.410 5.588 0.000 0.000 0.000 0.000 0.000
223 46.154 50.000 38.462 44.872 3.392 0.000 0.000 0.000 0.000 0.000
224 50.000 26.923 34.615 37.179 6.784 0.000 0.000 0.000 0.000 0.000
225 53.846 23.077 61.538 46.154 11.750 0.000 0.000 0.000 0.000 0.000
226 46.154 34.615 34.615 38.462 3.846 0.000 0.000 0.000 0.000 0.000
227 50.000 46.154 50.000 48.718 1.282 0.000 0.000 0.000 0.000 0.000
228 30.769 57.692 53.846 47.436 8.407 0.000 0.000 0.000 0.000 0.000
229 26.923 57.692 38.462 41.026 8.974 0.000 0.000 0.000 0.000 0.000
230 65.385 61.538 19.231 48.718 14.785 0.000 0.000 0.000 0.000 0.000
231 34.615 53.846 34.615 41.026 6.410 0.000 0.000 0.000 0.000 0.000
232 46.154 53.846 30.769 43.590 6.784 0.000 0.000 0.000 0.000 0.000
233 50.000 42.308 46.154 46.154 2.221 0.000 0.000 0.000 0.000 0.000
234 38.462 30.769 38.462 35.897 2.564 0.000 0.000 0.000 0.000 0.000
235 69.231 38.462 50.000 52.564 8.974 0.000 0.000 0.000 0.000 0.000
236 57.692 34.615 26.923 39.744 9.245 0.000 0.000 0.000 0.000 0.000
237 42.308 30.769 11.538 28.205 8.974 0.000 0.000 0.000 0.000 0.000
238 50.000 34.615 30.769 38.462 5.875 0.000 0.000 0.000 0.000 0.000
239 61.538 30.769 50.000 47.436 8.974 0.000 0.000 0.000 0.000 0.000
240 30.769 46.154 57.692 44.872 7.798 0.000 0.000 0.000 0.000 0.000
241 30.769 42.308 19.231 30.769 6.662 0.000 0.000 0.000 0.000 0.000
242 42.308 38.462 46.154 42.308 2.221 0.000 0.000 0.000 0.000 0.000
243 30.769 34.615 50.000 38.462 5.875 0.000 0.000 0.000 0.000 0.000
244 57.692 46.154 38.462 47.436 5.588 0.000 0.000 0.000 0.000 0.000
245 57.692 26.923 46.154 43.590 8.974 0.000 0.000 0.000 0.000 0.000
246 53.846 42.308 50.000 48.718 3.392 0.000 0.000 0.000 0.000 0.000
247 38.462 50.000 30.769 39.744 5.588 0.000 0.000 0.000 0.000 0.000
248 30.769 80.769 46.154 52.564 14.785 0.000 0.000 0.000 0.000 0.000
249 42.308 57.692 57.692 52.564 5.128 0.000 0.000 0.000 0.000 0.000
250 23.077 42.308 53.846 39.744 8.974 0.000 0.000 0.000 0.000 0.000
251 38.462 42.308 42.308 41.026 1.282 0.000 0.000 0.000 0.000 0.000
252 19.231 46.154 42.308 35.897 8.407 0.000 0.000 0.000 0.000 0.000
253 34.615 46.154 38.462 39.744 3.392 0.000 0.000 0.000 0.000 0.000
254 30.769 46.154 42.308 39.744 4.623 0.000 0.000 0.000 0.000 0.000
255 46.154 38.462 38.462 41.026 2.564 0.000 0.000 0.000 0.000 0.000
256 30.769 23.077 50.000 34.615 8.006 0.000 0.000 0.000 0.000 0.000
257 46.154 38.462 46.154 43.590 2.564 0.000 0.000 0.000 0.000 0.000
258 80.769 42.308 34.615 52.564 14.276 0.000 0.000 0.000 0.000 0.000
259 50.000 34.615 38.462 41.026 4.623 0.000 0.000 0.000 0.000 0.000
260 38.462 65.385 46.154 50.000 8.006 0.000 0.000 0.000 0.000 0.000
261 50.000 38.462 42.308 43.590 3.392 0.000 0.000 0.000 0.000 0.000
262 23.077 57.692 38.462 39.744 10.013 0.000 0.000 0.000 0.000 0.000
263 34.615 57.692 30.769 41.026 8.407 0.000 0.000 0.000 0.000 0.000
264 53.846 53.846 30.769 46.154 7.692 0.000 0.000 0.000 0.000 0.000
265 53.846 42.308 53.846 50.000 3.846 0.000 0.000 0.000 0.000 0.000
266 26.923 42.308 19.231 29.487 6.784 0.000 0.000 0.000 0.000 0.000
267 23.077 26.923 42.308 30.769 5.875 0.000 0.000 0.000 0.000 0.000
268 42.308 38.462 42.308 41.026 1.282 0.000 0.000 0.000 0.000 0.000
269 30.769 30.769 46.154 35.897 5.128 0.000 0.000 0.000 0.000 0.000
270 34.615 23.077 34.615 30.769 3.846 0.000 0.000 0.000 0.000 0.000
271 26.923 65.385 38.462 43.590 11.395 0.000 0.000 0.000 0.000 0.000
272 61.538 30.769 30.769 41.026 10.256 0.000 0.000 0.000 0.000 0.000
273 50.000 61.538 50.000 53.846 3.846 0.000 0.000 0.000 0.000 0.000
274 34.615 53.846 38.462 42.308 5.875 0.000 0.000 0.000 0.000 0.000
275 38.462 46.154 46.154 43.590 2.564 0.000 0.000 0.000 0.000 0.000
276 53.846 38.462 26.923 39.744 7.798 0.000 0.000 0.000 0.000 0.000
277 26.923 53.846 38.462 39.744 7.798 0.000 0.000 0.000 0.000 0.000
278 34.615 42.308 42.308 39.744 2.564 0.000 0.000 0.000 0.000 0.000
279 34.615 46.154 57.692 46.154 6.662 0.000 0.000 0.000 0.000 0.000
280 30.769 38.462 30.769 33.333 2.564 0.000 0.000 0.000 0.000 0.000
281 26.923 46.154 50.000 41.026 7.138 0.000 0.000 0.000 0.000 0.000
282 30.769 53.846 53.846 46.154 7.692 0.000 0.000 0.000 0.000 0.000
283 53.846 53.846 69.231 58.974 5.128 0.000 0.000 0.000 0.000 0.000
284 53.846 42.308 53.846 50.000 3.846 0.000 0.000 0.000 0.000 0.000
285 42.308 57.692 42.308 47.436 5.128 0.000 0.000 0.000 0.000 0.000
286 46.154 42.308 42.308 43.590 1.282 0.000 0.000 0.000 0.000 0.000
287 42.308 46.154 38.462 42.308 2.221 0.000 0.000 0.000 0.000 0.000
288 42.308 53.846 26.923 41.026 7.798 0.000 0.000 0.000 0.000 0.000
289 30.769 57.692 34.615 41.026 8.407 0.000 0.000 0.000 0.000 0.000
290 61.538 76.923 57.692 65.385 5.875 0.000 0.000 0.000 0.000 0.000
291 53.846 57.692 30.769 47.436 8.407 0.000 0.000 0.000 0.000 0.000
292 53.846 38.462 50.000 47.436 4.623 0.000 0.000 0.000 0.000 0.000
293 61.538 34.615 46.154 47.436 7.798 0.000 0.000 0.000 0.000 0.000
294 38.462 38.462 42.308 39.744 1.282 0.000 0.000 0.000 0.000 0.000
295 57.692 23.077 38.462 39.744 10.013 0.000 0.000 0.000 0.000 0.000
296 50.000 50.000 53.846 51.282 1.282 0.000 0.000 0.000 0.000 0.000
297 46.154 42.308 50.000 46.154 2.221 0.000 0.000 0.000 0.000 0.000
298 57.692 42.308 42.308 47.436 5.128 0.000 0.000 0.000 0.000 0.000
299 57.692 38.462 53.846 50.000 5.875 0.000 0.000 0.000 0.000 0.000
300 42.308 53.846 38.462 44.872 4.623 0.000 0.000 0.000 0.000 0.000
301 53.846 42.308 57.692 51.282 4.623 0.000 0.000 0.000 0.000 0.000
302 50.000 38.462 38.462 42.308 3.846 0.000 0.000 0.000 0.000 0.000
303 53.846 34.615 53.846 47.436 6.410 0.000 0.000 0.000 0.000 0.000
304 57.692 61.538 30.769 50.000 9.679 0.000 0.000 0.000 0.000 0.000
305 53.846 34.615 30.769 39.744 7.138 0.000 0.000 0.000 0.000 0.000
306 50.000 42.308 46.154 46.154 2.221 0.000 0.000 0.000 0.000 0.000
307 50.000 53.846 57.692 53.846 2.221 0.000 0.000 0.000 0.000 0.000
308 57.692 38.462 50.000 48.718 5.588 0.000 0.000 0.000 0.000 0.000
309 57.692 26.923 26.923 37.179 10.256 0.000 0.000 0.000 0.000 0.000
310 50.000 15.385 38.462 34.615 10.176 0.000 0.000 0.000 0.000 0.000
311 65.385 38.462 30.769 44.872 10.494 0.000 0.000 0.000 0.000 0.000
312 65.385 26.923 53.846 48.718 11.395 0.000 0.000 0.000 0.000 0.000
313 42.308 23.077 50.000 38.462 8.006 0.000 0.000 0.000 0.000 0.000
314 50.000 30.769 34.615 38.462 5.875 0.000 0.000 0.000 0.000 0.000
315 50.000 50.000 46.154 48.718 1.282 0.000 0.000 0.000 0.000 0.000
316 46.154 61.538 53.846 53.846 4.441 0.000 0.000 0.000 0.000 0.000
317 42.308 57.692 50.000 50.000 4.441 0.000 0.000 0.000 0.000 0.000
318 42.308 50.000 19.231 37.179 9.245 0.000 0.000 0.000 0.000 0.000
